pair	timestamp	bid	ask	last_trade	rolling_24_hour_volume	status
XRPZAR	1656065506420	6.07000000	6.08000000	6.07000000	5497278.00000000	ACTIVE
XRPZAR	1656067366943	6.02000000	6.03000000	6.03000000	5525751.00000000	ACTIVE
XRPZAR	1656069229775	6.03000000	6.05000000	6.06000000	5480239.00000000	ACTIVE
XRPZAR	1656071094588	6.07000000	6.08000000	6.08000000	5470079.00000000	ACTIVE
XRPZAR	1656072959156	6.05000000	6.06000000	6.06000000	5571369.00000000	ACTIVE
XRPZAR	1656074820985	6.04000000	6.05000000	6.05000000	5579552.00000000	ACTIVE
XRPZAR	1656076683238	6.03000000	6.04000000	6.03000000	5586390.00000000	ACTIVE
XRPZAR	1656078545644	5.99000000	6.01000000	5.99000000	5660763.00000000	ACTIVE
XRPZAR	1656080408794	5.96000000	5.97000000	5.96000000	5670026.00000000	ACTIVE
XRPZAR	1656082269660	5.90000000	5.91000000	5.90000000	5696743.00000000	ACTIVE
XRPZAR	1656084132187	5.82000000	5.84000000	5.83000000	5766425.00000000	ACTIVE
XRPZAR	1656085994913	5.83000000	5.84000000	5.84000000	5820272.00000000	ACTIVE
XRPZAR	1656087860243	5.83000000	5.84000000	5.83000000	5858065.00000000	ACTIVE
XRPZAR	1656089724141	5.78000000	5.79000000	5.79000000	5954300.00000000	ACTIVE
XRPZAR	1656091588492	5.84000000	5.85000000	5.85000000	6131234.00000000	ACTIVE
XRPZAR	1656093453079	5.70000000	5.71000000	5.70000000	6208126.00000000	ACTIVE
XRPZAR	1656095318354	5.71000000	5.72000000	5.72000000	6425327.00000000	ACTIVE
XRPZAR	1656097184934	5.81000000	5.82000000	5.81000000	6558177.00000000	ACTIVE
XRPZAR	1656099052600	5.80000000	5.81000000	5.80000000	6595594.00000000	ACTIVE
XRPZAR	1656100918948	5.85000000	5.86000000	5.85000000	6479119.00000000	ACTIVE
XRPZAR	1656102787156	5.83000000	5.85000000	5.84000000	6452553.00000000	ACTIVE
XRPZAR	1656104654318	5.84000000	5.85000000	5.84000000	6349814.00000000	ACTIVE
XRPZAR	1656106520091	5.92000000	5.93000000	5.92000000	6311233.00000000	ACTIVE
XRPZAR	1656108386842	5.95000000	5.96000000	5.96000000	6352206.00000000	ACTIVE
XRPZAR	1656110253024	5.94000000	5.95000000	5.94000000	6340810.00000000	ACTIVE
XRPZAR	1656112120449	5.90000000	5.91000000	5.90000000	6379511.00000000	ACTIVE
XRPZAR	1656113989190	5.96000000	5.97000000	5.97000000	6338537.00000000	ACTIVE
XRPZAR	1656115857888	5.86000000	5.87000000	5.85000000	6314797.00000000	ACTIVE
XRPZAR	1656117726595	5.91000000	5.92000000	5.91000000	6271554.00000000	ACTIVE
XRPZAR	1656119596419	5.94000000	5.95000000	5.94000000	5977769.00000000	ACTIVE
XRPZAR	1656121465861	5.98000000	5.99000000	5.98000000	5626854.00000000	ACTIVE
XRPZAR	1656123335840	5.93000000	5.94000000	5.93000000	5416215.00000000	ACTIVE
XRPZAR	1656125205483	5.90000000	5.91000000	5.91000000	5329319.00000000	ACTIVE
XRPZAR	1656127075007	5.93000000	5.94000000	5.94000000	5242047.00000000	ACTIVE
XRPZAR	1656128946497	5.96000000	5.97000000	5.96000000	5193204.00000000	ACTIVE
XRPZAR	1656130818512	5.94000000	5.96000000	5.96000000	5052046.00000000	ACTIVE
XRPZAR	1656132689595	5.96000000	5.97000000	5.97000000	4917243.00000000	ACTIVE
XRPZAR	1656134561972	5.97000000	5.98000000	5.98000000	4744626.00000000	ACTIVE
XRPZAR	1656136433933	5.97000000	5.98000000	5.97000000	4505447.00000000	ACTIVE
